month daily

3.32 .290

3.35 .307

3.39 .329

3.42 .553

3.45 .588

3.48 .846

3.52 .983

3.55 1.748

3.58 2.848

3.61 4.530

3.65 5.594

3.68 4.824

3.71 9.359

3.74 10.168

3.77 11.089

3.81 13.355

3.84 17.224

3.87 18.691

3.90 19.452

3.94 19.913

3.97 20.297

3.99 24.742

4.03 26.473

4.07 29.874

4.10 32.284

4.13 34.196

4.17 25.400

4.20 31.240

4.23 33.502

4.27 31.997

4.30 33.606

4.33 33.752

4.37 30.003

4.40 27.421

4.43 26.641

4.47 30.720

4.50 30.342

4.53 29.567

4.57 32.165

4.60 29.057

4.63 25.844

4.67 28.123

4.70 25.985

4.73 29.973

4.77 31.487

4.80 38.958

4.83 35.419

4.87 26.509

4.90 23.196

4.93 25.409

4.97 28.429

4.99 30.829

5.03 36.007

5.06 29.744

5.10 27.348

5.13 24.713

5.16 24.798

5.19 25.459

5.23 29.531

5.26 29.162

5.29 25.524

5.32 20.329

5.35 18.196

5.39 22.802

5.42 21.711

5.45 27.246

5.48 26.692

5.52 23.488

5.55 19.891

5.58 22.630

5.61 20.289

5.65 22.140

5.68 28.179

5.71 24.197

5.74 21.929

5.77 19.608

5.81 19.790

5.84 19.031

5.87 20.546

5.90 22.658

5.94 25.069

5.97 23.290

5.99 20.350

6.03 22.411

6.07 22.258

6.10 20.798

6.13 22.819

6.17 25.393

6.20 22.836

6.23 18.905

6.27 19.044

6.30 19.056

6.33 20.852

6.37 23.300

6.40 27.221

6.43 25.302

6.47 20.004

6.50 20.722

6.53 25.450

6.57 26.071

6.60 27.924

6.63 33.539

6.67 33.388

6.70 26.079

6.73 31.496

6.77 36.015

6.80 38.390

6.83 40.184

6.87 47.341

6.90 43.581

6.93 40.540

6.97 44.734

6.99 46.042

7.03 51.097

7.06 57.319

7.10 58.911

7.13 48.369

7.16 45.932

7.19 50.586

7.23 55.442

7.26 61.848

7.29 61.067

7.32 71.787

7.35 61.719

7.39 58.349

7.42 65.488

7.45 58.114

7.48 68.518

7.52 67.717

7.55 76.390

7.58 71.494

7.61 63.749

7.65 61.796

7.68 56.750

7.71 72.048

7.74 68.848

7.77 63.196

7.81 78.427

7.84 65.498

7.87 55.993
