month daily symbol cumulative

3.26 1 o 2

3.45 2 o 4

3.48 3 o 7

3.52 3 o 10

3.55 3 o 13

3.58 3 o 16

3.61 10 o 26

3.65 11 o 37

3.68 11 o 48

3.71 8 o 56

3.74 21 o 77

3.77 13 o 90

3.81 5 o 95

3.84 11 o 106

3.87 14 o 120

3.90 31 o 151

3.94 24 o 175

3.97 29 o 204

3.99 20 o 224

4.03 34 o 258

4.07 27 o 285

4.10 34 o 319

4.13 32 o 351

4.17 20 o 371

4.20 16 o 387

4.23 23 o 410

4.27 25 o 435

4.30 7 o 442

4.33 23 o 465

4.37 21 o 486

4.40 13 o 499

4.43 5 o 504

4.47 13 o 517

4.50 13 o 530

4.53 11 o 541

4.56 12 o 553

4.60 21 o 574

4.63 6 o 580

4.67 4 o 584

4.70 2 o 586

4.73 6 o 592

4.77 4 o 596

4.80 5 o 601

4.83 3 o 604

4.87 2 o 606

4.90 1 o 607

4.93 2 o 609

4.97 4 o 613

4.99 5 o 618

5.03 1 o 619

5.06 1 o 620

5.10 2 o 620

5.13 1 o 621

5.16 4 o 625

5.19 1 o 626

5.23 3 o 629

5.26 .6 o 629

5.29 3 o 631

5.32 1 o 632

5.35 2 o 634

5.39 1 o 635

5.42 3 o 638

5.45 .6 o 637

5.48 1 o 638

5.52 2 o 639

5.55 1 o 640

5.58 .6 o 640

5.61 1 o 641

5.65 2 o 643

5.68 4 o 647

5.71 .6 o 642

5.74 1 o 643

5.77 .6 o 643

5.81 .6 o 643

5.84 .6 o 643

5.87 1 o 644

5.90 3 o 647

5.94 3 o 649

5.97 3 o 651

5.99 1 o 652

6.03 .6 o 652

6.07 1 o 653

6.10 .6 o 653

6.13 2 o 655

6.17 9 o 664

6.20 9 o 673

6.23 2 o 675

6.27 1 o 676

6.30 6 o 682

6.33 4 o 685

6.37 7 o 692

6.40 15 o 706

6.43 17 o 723

6.47 5 o 728

6.50 8 o 736

6.53 4 o 740

6.57 5 o 744

6.60 18 o 762

6.63 27 o 789

6.67 14 o 803

6.70 11 o 814

6.73 4 o 816

6.77 3 o 819

6.80 16 o 835

6.83 17 o 851

6.87 17 o 866

6.90 6 o 872

6.93 27 o 899

6.97 2 o 900

6.99 18 o 917

7.03 9 o 926

7.06 20 o 946

7.10 29 o 975

7.13 24 o 999

7.16 25 o 1023

7.19 7 o 1030

7.23 41 o 1071

7.26 23 o 1094

7.29 36 o 1130

7.32 28 o 1158

7.35 42 o 1200

7.39 21 o 1220

7.42 23 o 1243

7.45 22 o 1265

7.48 29 o 1316

7.52 19 o 1335

7.55 23 o 1358

7.58 20 o 1378

7.61 28 o 1406

7.65 12 o 1418

7.68 25 o 1443

7.71 17 o 1460

7.74 55 o 1515

7.77 59 o 1574

7.81 71 o 1645

7.84 63 o 1708

7.87 28 o 1736
